Beverages/Drinks,
Unsafe,Safe
Slice,Gourmet
Aquafina,Cola next
Booster,Dayfresh
Capp,Fizup
Coca cola,Froot full
Dasani,Murree brewery
Dew,Murree sparklets
Fanta,Pakola
Fruita vitals,Tops
Gatorade,
Pepsi,
Prime,
Rani,
Red bull,
Roar,
Sprite,
Sting,
,
,
Chips/snacks,
Unsafe,Safe
Lays,Cheese balls(kolson)
Wavy,Potato sticks
Cheetos,Kolson
Kurkure,Korneez
,Super crisp
,Pak foods
,
,
Biscuits,
Unsafe,Safe
Oreo,Innovative
"LU (tiger biscuit, Prince, Gala etc)",Bisconi
"Peek freens (Rio, Sooper)",Lotte
Onesto (nimko & biscuits),"Mayfair (aaru, cafe)"
Lio,"Mzmz (krispy wafers, fillo donut)"
,
,
Chocolates,
Unsafe,Safe
Bounty,Swiss premium
Brono (island),Gorji (rotari
"Cadbury (dairymilk, delight, perk, eclairs, moro)","Mitchells (happy hearts, jubilee, kick"
Galaxy,"Shirin Asal (dream (chocolate), spark"
Kitkat,Anfords choco lovo
M&ms,"Candyland (Now, paradise, sonnet)"
Mars,
Twix,
,
,
Candies & toffies,
Unsafe,Safe
"Taste factory (london) (coool mint bubble, comet)","Danpak (chew mix, xtend bubble)"
Trident,"Hilal (amrus, churan chatni, khopra, jiggles, wispy)"
Maxx (rio cake),Ahooye tabriz (Shinto orange)
"Wrigley's (extra, orbit",Badshah 
Candy shandy enterprise (Tea rose chocolate),Crystal 
Tian's confection (mallow),General candy co (candy stick mini sour punk)
,Gold 
,
,
Dairy products,
Unsafe,Safe
Everyday,Olpers
Nido,Nurpur
Milkpak,Haleeb
,
,
Food(others),
Unsafe,Safe
Knorr noodles,Shan shoop noodles
Quaker (white oats),Kolson Noodles
Davidoff coffee,Hico ice cream
Everyday Milk,Omore ice cream
Tian's confection marshmellow,Kitcy foods (mustard powder)
Greenfood nimko and salts,Adams desi ghee
Nescafe Coffee,Dalda cooking oil
Walls ice cream,Family cooking oil
Food grade mother choice baking soda,Italia (olive oil) cooking oil
,Kisan cooking oil
,Seasons canola cooking oil
,Zalmi banaspati cooking oil
,Traditions peanut butter
,Fauji blus food item
,Jazaa food item
,K&Ns (Ready to cook food)
,Kansas ketchup
,Rahat food
,Sun Dip Food products
,Young's Food products
,Ahmed foods Food products
,Hafiz sweets
,Fauji cereals
,Adams desi ghee oil
,Dawn bread
,Golden macaroni
,"Morinaga Milk Industry ,Japan"
,Shan masala
,
,
Cosmetics,
Unsafe,Safe
Dove Soap,Laquila fresh touch hand wash 
Lifbouy Soap,Saba soap
Lux Soap,Trend (Frooto) soap
Safeguard Soap,Prima soap
Detol Soap,Black rose hair colour
Palmolive Soap,Herbion shampoo/hair colour 
Revlon Soap,Olivia hair colour
Bonus Detergent,Aqua vera Soap / Body Wash / Face Wash
Surf excel Detergent,Rivaj Soap / Body Wash / Face Wash
Ariel Detergent,Capri Soap / Body Wash / Face Wash
Rin Detergent,Saeed ghani Soap / Body Wash / Face Wash
Sunlight Detergent,Selsun blue shampoo
Clear Skin care,Clean & clear shampoo/face wash
Sunsilk Shampoo,Samsol Hair product
Garnier Skin care/cosmetics,Kuke lip balm body products
Vaseline Skin care,Medora Cosmetics
Head n shoulders Shampoo,Golden Pearl Cosmetics
Pantene Shampoo,Bio amla hair oil
Fair & lovely Skin care,Siena Hand wash
Ponds Skin care,
Veet Skin care,
Vatika hair oil,
Lexi (fruitee) food item,
Dabar amla hair oil,
,
,
Daily Use,
Unsafe,Safe
Surf excel detergent,Sufi detergent 
Always sanitary pads,Power wash detergent 
Mortein Insect killer,Bingo detergent 
Lemon max Dish washer,Perfect glass cleaner household
Reckitt benckister (Strepsils),Bright X household cleaning
Bonus detergent,Cobra Insect kiler
Rin detergent,Maxtox Insect repellent
Sunlight detergent,Herbion (joshanda)
Gillette mens care,Searle (ors)
Ariel detergent ,Gofress xylitol mouth freshner
Domex household cleaning ,Shakarganji multi product brand
Robin Bleach,"Liock Perfumes , talc."
She perfume,
Blue lady,
,
,
Fast food & restaurants,
Unsafe,Safe
Mc Donald’s,Cheezious
KFC,Al Baik
Dominos,Ranchers
Pizza Hut,Simply Sufi
Burger King,Johnny & Jugnu
Papa Johns,Savour Foods
Tim Hortons,optp
,Jalal Sons
,The Grilled Burger
